2023-05-15 17:06:18,456 - root - INFO - 101 , Scott, 3000, Scott.@gmail.com
2023-05-15 17:06:18,456 - root - INFO - 102 , Fredy, 4000, Fredy.@gmail.com
2023-05-15 17:06:18,456 - root - INFO - 103 , Sohan, 3500, Sohan.@gmail.com
2023-05-15 17:06:18,456 - root - INFO - 104 , MOhan, 3300, MOhan.@gmail.com
2023-05-15 18:37:09,326 - root - INFO - 101 , Scott, 3000, Scott.@gmail.com
2023-05-15 18:37:09,326 - root - INFO - 102 , Fredy, 4000, Fredy.@gmail.com
2023-05-15 18:37:09,326 - root - INFO - 103 , Sohan, 3500, Sohan.@gmail.com
2023-05-15 18:37:09,326 - root - INFO - 104 , MOhan, 3300, MOhan.@gmail.com
2023-05-15 18:37:10,063 - root - INFO - 101 , Scott, 3000, Scott.@gmail.com
2023-05-15 18:37:10,063 - root - INFO - 102 , Fredy, 4000, Fredy.@gmail.com
2023-05-15 18:37:10,066 - root - INFO - 103 , Sohan, 3500, Sohan.@gmail.com
2023-05-15 18:37:10,066 - root - INFO - 104 , MOhan, 3300, MOhan.@gmail.com
2023-05-15 18:37:42,766 - root - INFO - 101 , Scott, 3000, Scott.@gmail.com
2023-05-15 18:37:42,766 - root - INFO - 102 , Fredy, 4000, Fredy.@gmail.com
2023-05-15 18:37:42,766 - root - INFO - 103 , Sohan, 3500, Sohan.@gmail.com
2023-05-15 18:37:42,766 - root - INFO - 104 , MOhan, 3300, MOhan.@gmail.com
